2026-05-27 23:21:43,860 | preprocess | INFO | Audio diproses: 2311_audio04.wav
2026-05-27 23:22:01,705 | preprocess | INFO | Audio diproses: 2311_audio05.wav
2026-05-27 23:22:21,550 | preprocess | INFO | Audio diproses: 2311_audio06.wav
2026-05-27 23:22:39,547 | preprocess | INFO | Audio diproses: 2311_audio09.wav
2026-05-27 23:22:57,444 | preprocess | INFO | Audio diproses: 2311_audio12.wav
2026-05-27 23:23:15,393 | preprocess | INFO | Audio diproses: 2311_audio14.wav
2026-05-27 23:23:33,164 | preprocess | INFO | Audio diproses: 2311_audio17.wav
2026-05-27 23:23:51,291 | preprocess | INFO | Audio diproses: 2312_audio1.wav
2026-05-27 23:24:09,306 | preprocess | INFO | Audio diproses: 2312_audio2.wav
2026-05-27 23:24:27,318 | preprocess | INFO | Audio diproses: 2312_audio3.wav
2026-05-27 23:24:45,682 | preprocess | INFO | Audio diproses: 2312_audio4.wav
2026-05-27 23:25:03,545 | preprocess | INFO | Audio diproses: 2312_audio5.wav
2026-05-27 23:25:23,707 | preprocess | INFO | Audio diproses: 2312_audio6.wav
2026-05-27 23:25:41,900 | preprocess | INFO | Audio diproses: 2312_audio7.wav
2026-05-27 23:26:00,338 | preprocess | INFO | Audio diproses: 2312_audio11.wav
2026-05-27 23:26:18,278 | preprocess | INFO | Audio diproses: 2312_audio15.wav
2026-05-27 23:26:36,657 | preprocess | INFO | Audio diproses: 2312_audio19.wav
2026-05-27 23:26:54,632 | preprocess | INFO | Audio diproses: 2312_audio20.wav
2026-05-27 23:27:12,716 | preprocess | INFO | Audio diproses: 2318_audio01.wav
2026-05-27 23:27:30,762 | preprocess | INFO | Audio diproses: 2318_audio02.wav
2026-05-27 23:27:48,745 | preprocess | INFO | Audio diproses: 2318_audio03.wav
2026-05-27 23:28:07,005 | preprocess | INFO | Audio diproses: 2318_audio04.wav
2026-05-27 23:28:24,908 | preprocess | INFO | Audio diproses: 2318_audio05.wav
2026-05-27 23:28:44,913 | preprocess | INFO | Audio diproses: 2318_audio06.wav
2026-05-27 23:29:02,766 | preprocess | INFO | Audio diproses: 2318_audio09.wav
2026-05-27 23:29:20,652 | preprocess | INFO | Audio diproses: 2318_audio10.wav
2026-05-27 23:29:38,507 | preprocess | INFO | Audio diproses: 2318_audio13.wav
2026-05-27 23:29:56,515 | preprocess | INFO | Audio diproses: 2318_audio19.wav
2026-05-27 23:30:14,299 | preprocess | INFO | Audio diproses: 2319_Audio1.wav
2026-05-27 23:30:32,508 | preprocess | INFO | Audio diproses: 2319_Audio2.wav
2026-05-27 23:30:50,304 | preprocess | INFO | Audio diproses: 2319_Audio3.wav
2026-05-27 23:31:08,193 | preprocess | INFO | Audio diproses: 2319_Audio4.wav
2026-05-27 23:31:26,106 | preprocess | INFO | Audio diproses: 2319_Audio5.wav
2026-05-27 23:31:45,699 | preprocess | INFO | Audio diproses: 2319_Audio6.wav
2026-05-27 23:32:03,541 | preprocess | INFO | Audio diproses: 2319_Audio10.wav
2026-05-27 23:32:21,431 | preprocess | INFO | Audio diproses: 2319_Audio13.wav
2026-05-27 23:32:39,377 | preprocess | INFO | Audio diproses: 2319_Audio16.wav
2026-05-27 23:32:57,508 | preprocess | INFO | Audio diproses: 2319_Audio19.wav
2026-05-27 23:33:15,380 | preprocess | INFO | Audio diproses: 2323_audio01.wav
2026-05-27 23:33:33,467 | preprocess | INFO | Audio diproses: 2323_audio02.wav
2026-05-27 23:33:51,299 | preprocess | INFO | Audio diproses: 2323_audio03.wav
2026-05-27 23:34:09,102 | preprocess | INFO | Audio diproses: 2323_audio04.wav
2026-05-27 23:34:26,740 | preprocess | INFO | Audio diproses: 2323_audio05.wav
2026-05-27 23:34:46,949 | preprocess | INFO | Audio diproses: 2323_audio06.wav
2026-05-27 23:35:04,887 | preprocess | INFO | Audio diproses: 2323_audio13.wav
2026-05-27 23:35:27,631 | preprocess | INFO | Audio diproses: 2323_audio14.wav
2026-05-27 23:35:50,213 | preprocess | INFO | Audio diproses: 2323_audio15.wav
2026-05-27 23:36:11,952 | preprocess | INFO | Audio diproses: 2323_audio16.wav
2026-05-27 23:36:33,654 | preprocess | INFO | Audio diproses: 2323_audio18.wav
2026-05-27 23:36:54,927 | preprocess | INFO | Audio diproses: 2325_audio1.wav
2026-05-27 23:37:16,459 | preprocess | INFO | Audio diproses: 2325_audio2.wav
2026-05-27 23:37:37,857 | preprocess | INFO | Audio diproses: 2325_audio3.wav
2026-05-27 23:37:58,931 | preprocess | INFO | Audio diproses: 2325_audio4.wav
2026-05-27 23:38:20,392 | preprocess | INFO | Audio diproses: 2325_audio5.wav
2026-05-27 23:38:44,669 | preprocess | INFO | Audio diproses: 2325_audio6.wav
2026-05-27 23:39:06,045 | preprocess | INFO | Audio diproses: 2325_audio7.wav
2026-05-27 23:39:27,936 | preprocess | INFO | Audio diproses: 2325_audio8.wav
2026-05-27 23:39:49,237 | preprocess | INFO | Audio diproses: 2325_audio9.wav
2026-05-27 23:40:10,306 | preprocess | INFO | Audio diproses: 2325_audio10.wav
2026-05-27 23:40:32,076 | preprocess | INFO | Audio diproses: 2326_audio01.wav
2026-05-27 23:40:54,031 | preprocess | INFO | Audio diproses: 2326_audio02.wav
2026-05-27 23:41:15,544 | preprocess | INFO | Audio diproses: 2326_audio03.wav
2026-05-27 23:41:37,055 | preprocess | INFO | Audio diproses: 2326_audio04.wav
2026-05-27 23:41:58,312 | preprocess | INFO | Audio diproses: 2326_audio05.wav
